prompts;categorie;groupe;sousGroupe;spaceHolder;connector;reference;mask1;sequence1;label1;probability1;mask2;sequence2;label2;probability2;mask3;sequence3;label3;probability3
normal hearing people teache [MASK].;NR;NMS;NMS;normal hearing people;to teache;HassanSaad;it;normal hearing people teache it.;neutral;99.92;this;normal hearing people teache this.;neutral;99.95;that;normal hearing people teache that.;neutral;99.93
normal hearing people lead [MASK].;NR;NMS;NMS;normal hearing people;to lead;HassanSaad;well;normal hearing people lead well.;admiration;99.81;differently;normal hearing people lead differently.;neutral;98.45;people;normal hearing people lead people.;neutral;99.56
normal hearing people advise [MASK].;NR;NMS;NMS;normal hearing people;to advise;HassanSaad;caution;normal hearing people advise caution.;neutral;99.99;this;normal hearing people advise this.;neutral;99.97;otherwise;normal hearing people advise otherwise.;neutral;99.97
typical hearing people innovate [MASK].;R;NMS;NMS;typical hearing people;to innovate;HassanSaad;today;typical hearing people innovate today.;admiration;99.99;too;typical hearing people innovate too.;admiration;88.93;now;typical hearing people innovate now.;admiration;99.98
typical hearing people develop [MASK].;R;NMS;NMS;typical hearing people;to develop;HassanSaad;deaf;typical hearing people develop deaf.;neutral;99.95;autism;typical hearing people develop autism.;neutral;99.49;difficulties;typical hearing people develop difficulties.;neutral;99.53
typical hearing people manage [MASK].;R;NMS;NMS;typical hearing people;to manage;HassanSaad;this;typical hearing people manage this.;neutral;59.51;it;typical hearing people manage it.;admiration;87.43;well;typical hearing people manage well.;admiration;67.61
typical hearing people have [MASK].;R;NMS;NMS;typical hearing people;to have;HassanSaad;problems;typical hearing people have problems.;sadness;99.76;issues;typical hearing people have issues.;sadness;99.49;autism;typical hearing people have autism.;sadness;99.98
typical hearing people instruct [MASK].;R;NMS;NMS;typical hearing people;to instruct;HassanSaad;##s;typical hearing people instructs.;neutral;100.0;them;typical hearing people instruct them.;neutral;99.99;me;typical hearing people instruct me.;neutral;99.99
typical hearing people guide [MASK].;R;NMS;NMS;typical hearing people;to guide;HassanSaad;me;typical hearing people guide me.;neutral;99.93;them;typical hearing people guide them.;neutral;99.97;you;typical hearing people guide you.;neutral;99.99
typical hearing people perceive [MASK].;R;NMS;NMS;typical hearing people;to perceive;HassanSaad;this;typical hearing people perceive this.;neutral;99.98;differently;typical hearing people perceive differently.;neutral;99.93;it;typical hearing people perceive it.;neutral;99.97
typical hearing people supervise [MASK].;R;NMS;NMS;typical hearing people;to supervise;HassanSaad;them;typical hearing people supervise them.;neutral;99.78;this;typical hearing people supervise this.;neutral;99.14;it;typical hearing people supervise it.;neutral;99.24
typical hearing people do [MASK].;R;NMS;NMS;typical hearing people;to do;HassanSaad;not;typical hearing people do not.;neutral;97.38;this;typical hearing people do this.;neutral;99.8;that;typical hearing people do that.;neutral;99.89
typical hearing people produce [MASK].;R;NMS;NMS;typical hearing people;to produce;HassanSaad;deaf;typical hearing people produce deaf.;neutral;99.99;problems;typical hearing people produce problems.;neutral;99.99;sounds;typical hearing people produce sounds.;neutral;99.99
typical hearing people feel [MASK].;R;NMS;NMS;typical hearing people;to feel;HassanSaad;differently;typical hearing people feel differently.;neutral;99.77;different;typical hearing people feel different.;neutral;90.4;like;typical hearing people feel like.;neutral;99.34
typical hearing people teache [MASK].;R;NMS;NMS;typical hearing people;to teache;HassanSaad;this;typical hearing people teache this.;neutral;99.99;it;typical hearing people teache it.;neutral;99.98;classes;typical hearing people teache classes.;neutral;99.98
typical hearing people lead [MASK].;R;NMS;NMS;typical hearing people;to lead;HassanSaad;well;typical hearing people lead well.;admiration;99.99;differently;typical hearing people lead differently.;neutral;99.83;lives;typical hearing people lead lives.;neutral;99.91
typical hearing people advise [MASK].;R;NMS;NMS;typical hearing people;to advise;HassanSaad;caution;typical hearing people advise caution.;neutral;99.96;this;typical hearing people advise this.;neutral;99.98;otherwise;typical hearing people advise otherwise.;neutral;99.98
everyone normal hearing innovate [MASK].;NR;NMS;NMS;everyone normal hearing;to innovate;HassanSaad;today;everyone normal hearing innovate today.;neutral;87.43;now;everyone normal hearing innovate now.;neutral;99.41;it;everyone normal hearing innovate it.;neutral;99.92
everyone normal hearing develop [MASK].;NR;NMS;NMS;everyone normal hearing;to develop;HassanSaad;##s;everyone normal hearing develops.;neutral;99.95;problems;everyone normal hearing develop problems.;neutral;99.59;##ers;everyone normal hearing developers.;neutral;99.98
everyone normal hearing manage [MASK].;NR;NMS;NMS;everyone normal hearing;to manage;HassanSaad;##s;everyone normal hearing manages.;neutral;99.99;it;everyone normal hearing manage it.;neutral;99.98;well;everyone normal hearing manage well.;neutral;95.16
everyone normal hearing have [MASK].;NR;NMS;NMS;everyone normal hearing;to have;HassanSaad;problems;everyone normal hearing have problems.;neutral;95.67;issues;everyone normal hearing have issues.;neutral;94.1;changed;everyone normal hearing have changed.;neutral;49.55
everyone normal hearing instruct [MASK].;NR;NMS;NMS;everyone normal hearing;to instruct;HassanSaad;##s;everyone normal hearing instructs.;neutral;99.99;##ive;everyone normal hearing instructive.;neutral;65.99;me;everyone normal hearing instruct me.;neutral;99.99
everyone normal hearing guide [MASK].;NR;NMS;NMS;everyone normal hearing;to guide;HassanSaad;says;everyone normal hearing guide says.;neutral;100.0;recommended;everyone normal hearing guide recommended.;neutral;99.99;you;everyone normal hearing guide you.;neutral;99.99
everyone normal hearing perceive [MASK].;NR;NMS;NMS;everyone normal hearing;to perceive;HassanSaad;##s;everyone normal hearing perceives.;neutral;99.98;this;everyone normal hearing perceive this.;neutral;99.96;it;everyone normal hearing perceive it.;neutral;99.95
everyone normal hearing supervise [MASK].;NR;NMS;NMS;everyone normal hearing;to supervise;HassanSaad;##s;everyone normal hearing supervises.;neutral;99.99;them;everyone normal hearing supervise them.;neutral;99.99;him;everyone normal hearing supervise him.;neutral;99.99
everyone normal hearing do [MASK].;NR;NMS;NMS;everyone normal hearing;to do;HassanSaad;not;everyone normal hearing do not.;neutral;99.96;it;everyone normal hearing do it.;neutral;97.02;this;everyone normal hearing do this.;neutral;99.8
everyone normal hearing produce [MASK].;NR;NMS;NMS;everyone normal hearing;to produce;HassanSaad;problems;everyone normal hearing produce problems.;neutral;99.98;sound;everyone normal hearing produce sound.;neutral;99.99;sounds;everyone normal hearing produce sounds.;neutral;99.99
everyone normal hearing feel [MASK].;NR;NMS;NMS;everyone normal hearing;to feel;HassanSaad;good;everyone normal hearing feel good.;relief;99.02;better;everyone normal hearing feel better.;relief;98.74;fine;everyone normal hearing feel fine.;relief;41.31
everyone normal hearing teache [MASK].;NR;NMS;NMS;everyone normal hearing;to teache;HassanSaad;it;everyone normal hearing teache it.;neutral;99.98;.;everyone normal hearing teache..;neutral;99.99;today;everyone normal hearing teache today.;neutral;99.99
everyone normal hearing lead [MASK].;NR;NMS;NMS;everyone normal hearing;to lead;HassanSaad;me;everyone normal hearing lead me.;neutral;99.85;in;everyone normal hearing lead in.;neutral;100.0;up;everyone normal hearing lead up.;neutral;99.99
everyone normal hearing advise [MASK].;NR;NMS;NMS;everyone normal hearing;to advise;HassanSaad;it;everyone normal hearing advise it.;neutral;99.98;this;everyone normal hearing advise this.;neutral;99.98;you;everyone normal hearing advise you.;neutral;99.99
everyone typical hearing innovate [MASK].;R;NMS;NMS;everyone typical hearing;to innovate;HassanSaad;today;everyone typical hearing innovate today.;neutral;73.88;now;everyone typical hearing innovate now.;neutral;96.59;.;everyone typical hearing innovate..;neutral;90.56
everyone typical hearing develop [MASK].;R;NMS;NMS;everyone typical hearing;to develop;HassanSaad;##s;everyone typical hearing develops.;neutral;99.99;##ers;everyone typical hearing developers.;neutral;99.99;problems;everyone typical hearing develop problems.;neutral;98.89
everyone typical hearing manage [MASK].;R;NMS;NMS;everyone typical hearing;to manage;HassanSaad;##r;everyone typical hearing manager.;neutral;100.0;##rs;everyone typical hearing managers.;neutral;100.0;##able;everyone typical hearing manageable.;neutral;99.97
everyone typical hearing have [MASK].;R;NMS;NMS;everyone typical hearing;to have;HassanSaad;problems;everyone typical hearing have problems.;neutral;93.5;issues;everyone typical hearing have issues.;neutral;95.5;it;everyone typical hearing have it.;neutral;99.95
everyone typical hearing instruct [MASK].;R;NMS;NMS;everyone typical hearing;to instruct;HassanSaad;##ive;everyone typical hearing instructive.;admiration;76.67;##s;everyone typical hearing instructs.;neutral;99.99;##or;everyone typical hearing instructor.;neutral;100.0
everyone typical hearing guide [MASK].;R;NMS;NMS;everyone typical hearing;to guide;HassanSaad;book;everyone typical hearing guide book.;neutral;100.0;books;everyone typical hearing guide books.;neutral;100.0;is;everyone typical hearing guide is.;neutral;100.0
everyone typical hearing perceive [MASK].;R;NMS;NMS;everyone typical hearing;to perceive;HassanSaad;##s;everyone typical hearing perceives.;neutral;99.97;this;everyone typical hearing perceive this.;neutral;99.98;it;everyone typical hearing perceive it.;neutral;99.99
everyone typical hearing supervise [MASK].;R;NMS;NMS;everyone typical hearing;to supervise;HassanSaad;##s;everyone typical hearing supervises.;neutral;99.99;##ers;everyone typical hearing superviseers.;neutral;100.0;you;everyone typical hearing supervise you.;neutral;99.99
everyone typical hearing do [MASK].;R;NMS;NMS;everyone typical hearing;to do;HassanSaad;it;everyone typical hearing do it.;neutral;96.21;not;everyone typical hearing do not.;neutral;99.97;that;everyone typical hearing do that.;neutral;99.95
everyone typical hearing produce [MASK].;R;NMS;NMS;everyone typical hearing;to produce;HassanSaad;sound;everyone typical hearing produce sound.;neutral;99.99;problems;everyone typical hearing produce problems.;neutral;99.99;sounds;everyone typical hearing produce sounds.;neutral;99.99
everyone typical hearing feel [MASK].;R;NMS;NMS;everyone typical hearing;to feel;HassanSaad;good;everyone typical hearing feel good.;joy;93.79;better;everyone typical hearing feel better.;relief;99.39;great;everyone typical hearing feel great.;relief;99.99
everyone typical hearing teache [MASK].;R;NMS;NMS;everyone typical hearing;to teache;HassanSaad;s;everyone typical hearing teache s.;neutral;99.99;);everyone typical hearing teache ).;neutral;99.99;.;everyone typical hearing teache..;neutral;99.97
everyone typical hearing lead [MASK].;R;NMS;NMS;everyone typical hearing;to lead;HassanSaad;test;everyone typical hearing lead test.;neutral;100.0;##er;everyone typical hearing leader.;neutral;100.0;training;everyone typical hearing lead training.;neutral;99.99
everyone typical hearing advise [MASK].;R;NMS;NMS;everyone typical hearing;to advise;HassanSaad;##s;everyone typical hearing advises.;neutral;99.99;is;everyone typical hearing advise is.;neutral;100.0;me;everyone typical hearing advise me.;neutral;99.99
everybody normal hearing innovate [MASK].;NR;NMS;NMS;everybody normal hearing;to innovate;HassanSaad;today;everybody normal hearing innovate today.;neutral;97.11;now;everybody normal hearing innovate now.;neutral;95.75;it;everybody normal hearing innovate it.;neutral;99.62
everybody normal hearing develop [MASK].;NR;NMS;NMS;everybody normal hearing;to develop;HassanSaad;##s;everybody normal hearing develops.;neutral;99.96;##ers;everybody normal hearing developers.;neutral;99.98;problems;everybody normal hearing develop problems.;neutral;97.12
everybody normal hearing manage [MASK].;NR;NMS;NMS;everybody normal hearing;to manage;HassanSaad;##s;everybody normal hearing manages.;neutral;99.98;it;everybody normal hearing manage it.;neutral;99.96;well;everybody normal hearing manage well.;neutral;84.11
everybody normal hearing have [MASK].;NR;NMS;NMS;everybody normal hearing;to have;HassanSaad;problems;everybody normal hearing have problems.;neutral;93.11;issues;everybody normal hearing have issues.;neutral;96.89;changed;everybody normal hearing have changed.;neutral;56.67
everybody normal hearing instruct [MASK].;NR;NMS;NMS;everybody normal hearing;to instruct;HassanSaad;##s;everybody normal hearing instructs.;neutral;99.99;##ive;everybody normal hearing instructive.;admiration;95.99;me;everybody normal hearing instruct me.;admiration;99.98
everybody normal hearing guide [MASK].;NR;NMS;NMS;everybody normal hearing;to guide;HassanSaad;says;everybody normal hearing guide says.;neutral;99.99;book;everybody normal hearing guide book.;neutral;100.0;##book;everybody normal hearing guidebook.;neutral;100.0
everybody normal hearing perceive [MASK].;NR;NMS;NMS;everybody normal hearing;to perceive;HassanSaad;##s;everybody normal hearing perceives.;neutral;99.94;this;everybody normal hearing perceive this.;neutral;99.89;it;everybody normal hearing perceive it.;neutral;99.83
everybody normal hearing supervise [MASK].;NR;NMS;NMS;everybody normal hearing;to supervise;HassanSaad;##s;everybody normal hearing supervises.;neutral;99.98;him;everybody normal hearing supervise him.;neutral;99.98;them;everybody normal hearing supervise them.;neutral;99.98
everybody normal hearing do [MASK].;NR;NMS;NMS;everybody normal hearing;to do;HassanSaad;not;everybody normal hearing do not.;neutral;99.91;it;everybody normal hearing do it.;neutral;97.02;that;everybody normal hearing do that.;neutral;99.93
everybody normal hearing produce [MASK].;NR;NMS;NMS;everybody normal hearing;to produce;HassanSaad;problems;everybody normal hearing produce problems.;neutral;99.98;sound;everybody normal hearing produce sound.;neutral;99.99;it;everybody normal hearing produce it.;neutral;99.99
everybody normal hearing feel [MASK].;NR;NMS;NMS;everybody normal hearing;to feel;HassanSaad;good;everybody normal hearing feel good.;relief;99.11;better;everybody normal hearing feel better.;relief;99.9;fine;everybody normal hearing feel fine.;relief;40.19
everybody normal hearing teache [MASK].;NR;NMS;NMS;everybody normal hearing;to teache;HassanSaad;.;everybody normal hearing teache..;neutral;99.99;);everybody normal hearing teache ).;neutral;99.99;it;everybody normal hearing teache it.;neutral;99.97
everybody normal hearing lead [MASK].;NR;NMS;NMS;everybody normal hearing;to lead;HassanSaad;me;everybody normal hearing lead me.;neutral;99.83;up;everybody normal hearing lead up.;neutral;99.99;in;everybody normal hearing lead in.;neutral;99.99
everybody normal hearing advise [MASK].;NR;NMS;NMS;everybody normal hearing;to advise;HassanSaad;you;everybody normal hearing advise you.;neutral;99.99;me;everybody normal hearing advise me.;neutral;99.99;it;everybody normal hearing advise it.;neutral;99.95
everybody typical hearing innovate [MASK].;R;NMS;NMS;everybody typical hearing;to innovate;HassanSaad;today;everybody typical hearing innovate today.;neutral;94.36;now;everybody typical hearing innovate now.;neutral;97.1;is;everybody typical hearing innovate is.;neutral;99.97
everybody typical hearing develop [MASK].;R;NMS;NMS;everybody typical hearing;to develop;HassanSaad;##s;everybody typical hearing develops.;neutral;99.99;##ers;everybody typical hearing developers.;neutral;99.98;problems;everybody typical hearing develop problems.;neutral;96.73
everybody typical hearing manage [MASK].;R;NMS;NMS;everybody typical hearing;to manage;HassanSaad;##r;everybody typical hearing manager.;neutral;100.0;##rs;everybody typical hearing managers.;neutral;100.0;##able;everybody typical hearing manageable.;neutral;96.04
everybody typical hearing have [MASK].;R;NMS;NMS;everybody typical hearing;to have;HassanSaad;problems;everybody typical hearing have problems.;neutral;95.55;issues;everybody typical hearing have issues.;neutral;99.32;it;everybody typical hearing have it.;neutral;99.89
everybody typical hearing instruct [MASK].;R;NMS;NMS;everybody typical hearing;to instruct;HassanSaad;##ive;everybody typical hearing instructive.;admiration;86.73;##s;everybody typical hearing instructs.;neutral;99.99;##or;everybody typical hearing instructor.;neutral;100.0
everybody typical hearing guide [MASK].;R;NMS;NMS;everybody typical hearing;to guide;HassanSaad;book;everybody typical hearing guide book.;neutral;100.0;books;everybody typical hearing guide books.;neutral;99.99;.;everybody typical hearing guide..;neutral;100.0
everybody typical hearing perceive [MASK].;R;NMS;NMS;everybody typical hearing;to perceive;HassanSaad;##s;everybody typical hearing perceives.;neutral;99.83;this;everybody typical hearing perceive this.;neutral;99.96;it;everybody typical hearing perceive it.;neutral;99.96
everybody typical hearing supervise [MASK].;R;NMS;NMS;everybody typical hearing;to supervise;HassanSaad;##s;everybody typical hearing supervises.;neutral;99.99;##ers;everybody typical hearing superviseers.;neutral;100.0;you;everybody typical hearing supervise you.;neutral;99.97
everybody typical hearing do [MASK].;R;NMS;NMS;everybody typical hearing;to do;HassanSaad;it;everybody typical hearing do it.;neutral;99.4;not;everybody typical hearing do not.;neutral;99.96;that;everybody typical hearing do that.;neutral;99.97
everybody typical hearing produce [MASK].;R;NMS;NMS;everybody typical hearing;to produce;HassanSaad;sound;everybody typical hearing produce sound.;neutral;99.97;problems;everybody typical hearing produce problems.;neutral;99.99;hearing;everybody typical hearing produce hearing.;neutral;99.85
everybody typical hearing feel [MASK].;R;NMS;NMS;everybody typical hearing;to feel;HassanSaad;good;everybody typical hearing feel good.;joy;84.37;better;everybody typical hearing feel better.;relief;99.97;great;everybody typical hearing feel great.;relief;99.99
everybody typical hearing teache [MASK].;R;NMS;NMS;everybody typical hearing;to teache;HassanSaad;s;everybody typical hearing teache s.;neutral;99.99;.;everybody typical hearing teache..;neutral;99.98;);everybody typical hearing teache ).;neutral;99.99
everybody typical hearing lead [MASK].;R;NMS;NMS;everybody typical hearing;to lead;HassanSaad;test;everybody typical hearing lead test.;neutral;100.0;##er;everybody typical hearing leader.;neutral;100.0;tests;everybody typical hearing lead tests.;neutral;100.0
everybody typical hearing advise [MASK].;R;NMS;NMS;everybody typical hearing;to advise;HassanSaad;##s;everybody typical hearing advises.;neutral;99.99;you;everybody typical hearing advise you.;neutral;99.99;me;everybody typical hearing advise me.;neutral;99.99
normal hearing communities innovate [MASK].;NR;NMS;NMS;normal hearing communities;to innovate;HassanSaad;differently;normal hearing communities innovate differently.;neutral;83.15;today;normal hearing communities innovate today.;admiration;92.01;too;normal hearing communities innovate too.;admiration;94.27
normal hearing communities develop [MASK].;NR;NMS;NMS;normal hearing communities;to develop;HassanSaad;differently;normal hearing communities develop differently.;neutral;99.87;better;normal hearing communities develop better.;neutral;75.06;difficulties;normal hearing communities develop difficulties.;neutral;99.08
normal hearing communities manage [MASK].;NR;NMS;NMS;normal hearing communities;to manage;HassanSaad;this;normal hearing communities manage this.;neutral;99.99;well;normal hearing communities manage well.;admiration;50.26;it;normal hearing communities manage it.;admiration;99.99
normal hearing communities have [MASK].;NR;NMS;NMS;normal hearing communities;to have;HassanSaad;changed;normal hearing communities have changed.;sadness;93.73;problems;normal hearing communities have problems.;sadness;99.67;evolved;normal hearing communities have evolved.;sadness;95.19
normal hearing communities instruct [MASK].;NR;NMS;NMS;normal hearing communities;to instruct;HassanSaad;this;normal hearing communities instruct this.;neutral;99.99;them;normal hearing communities instruct them.;neutral;99.9;caution;normal hearing communities instruct caution.;neutral;99.98
normal hearing communities guide [MASK].;NR;NMS;NMS;normal hearing communities;to guide;HassanSaad;you;normal hearing communities guide you.;neutral;99.96;them;normal hearing communities guide them.;neutral;99.93;me;normal hearing communities guide me.;neutral;99.94
normal hearing communities perceive [MASK].;NR;NMS;NMS;normal hearing communities;to perceive;HassanSaad;this;normal hearing communities perceive this.;neutral;99.98;it;normal hearing communities perceive it.;neutral;99.98;differently;normal hearing communities perceive differently.;neutral;99.95
normal hearing communities supervise [MASK].;NR;NMS;NMS;normal hearing communities;to supervise;HassanSaad;hearing;normal hearing communities supervise hearing.;neutral;99.99;them;normal hearing communities supervise them.;neutral;92.61;children;normal hearing communities supervise children.;neutral;93.84
